,price
0,4268.0
1,505.0
2,2686.0
3,738.0
4,4882.0
5,9057.0
6,3733.0
7,8608.0
8,557.0
9,6741.0
10,1040.0
11,4284.0
12,3101.0
13,14507.0
14,10349.0
15,6006.0
16,1207.0
17,983.0
18,3548.0
19,11078.0
20,11177.0
21,1740.0
22,605.0
23,12932.0
24,574.0
25,2873.0
26,6216.0
27,3568.0
28,7066.0
29,3054.0
30,4969.0
31,743.0
32,6801.0
33,5717.0
34,2422.0
35,2553.0
36,14208.0
37,2858.0
38,5292.0
39,1240.0
40,1875.0
41,3861.0
42,2587.0
43,3648.0
44,552.0
45,866.0
46,625.0
47,3830.0
48,3184.0
49,5671.0
50,2399.0
51,1688.0
52,513.0
53,1549.0
54,1002.0
55,878.0
56,3679.0
57,495.0
58,1221.0
59,13839.0
60,5113.0
61,628.0
62,816.0
63,3434.0
64,854.0
65,5455.0
66,2898.0
67,776.0
68,7887.0
69,1008.0
70,1342.0
71,7623.0
72,2440.0
73,11152.0
74,14456.0
75,1975.0
76,9801.0
77,658.0
78,1076.0
79,752.0
80,6121.0
81,4401.0
82,416.0
83,4227.0
84,1915.0
85,14976.0
86,4536.0
87,589.0
88,4157.0
89,752.0
90,5105.0
91,3715.0
92,1415.0
93,499.0
94,2787.0
95,2996.0
96,10485.0
97,16329.0
98,603.0
99,3864.0
100,2443.0
101,810.0
102,593.0
103,3988.0
104,652.0
105,9664.0
106,5223.0
107,5226.0
108,826.0
109,6401.0
110,4168.0
111,489.0
112,18561.0
113,14674.0
114,18358.0
115,933.0
116,445.0
117,3610.0
118,12069.0
119,645.0
120,4372.0
121,779.0
122,1350.0
123,14998.0
124,565.0
125,2086.0
126,4537.0
127,589.0
128,16957.0
129,2443.0
130,7275.0
131,4541.0
132,11636.0
133,457.0
134,3215.0
135,942.0
136,2060.0
137,7882.0
138,706.0
139,2373.0
140,675.0
141,3137.0
142,871.0
143,9072.0
144,5088.0
145,6409.0
146,12830.0
147,18394.0
148,5581.0
149,2671.0
150,5379.0
151,5242.0
152,10487.0
153,4208.0
154,608.0
155,1930.0
156,3936.0
157,1732.0
158,2328.0
159,3511.0
160,1043.0
161,4831.0
162,8955.0
163,5625.0
164,1052.0
165,1167.0
166,6597.0
167,2088.0
168,4964.0
169,6937.0
170,15394.0
171,4915.0
172,2853.0
173,842.0
174,749.0
175,1813.0
176,1627.0
177,11416.0
178,5447.0
179,10581.0
180,499.0
181,610.0
182,6055.0
183,372.0
184,3344.0
185,2083.0
186,886.0
187,1582.0
188,3083.0
189,7657.0
190,527.0
191,2196.0
192,9297.0
193,13703.0
194,1422.0
195,5283.0
196,3795.0
197,2882.0
198,2208.0
199,558.0
200,6371.0
201,4242.0
202,506.0
203,487.0
204,1227.0
205,1232.0
206,2153.0
207,447.0
208,1398.0
209,1241.0
210,14749.0
211,2845.0
212,12207.0
213,4095.0
214,5722.0
215,7964.0
216,1035.0
217,7744.0
218,1061.0
219,845.0
220,544.0
221,14578.0
222,2964.0
223,5821.0
224,6028.0
225,608.0
226,658.0
227,7492.0
228,1092.0
229,462.0
230,435.0
231,1646.0
232,523.0
233,710.0
234,1230.0
235,621.0
236,2895.0
237,707.0
238,1995.0
239,952.0
240,5622.0
241,4150.0
243,4844.0
244,4177.0
245,576.0
246,5347.0
247,7708.0
248,4173.0
249,10144.0
250,2351.0
251,2487.0
252,4407.0
253,12255.0
254,5506.0
255,2896.0
256,6149.0
257,8693.0
258,1608.0
259,1885.0
260,3638.0
261,8693.0
262,5077.0
263,5161.0
264,641.0
265,5439.0
266,1720.0
267,942.0
268,9625.0
269,918.0
270,807.0
271,4454.0
272,668.0
273,2956.0
274,900.0
275,17476.0
276,645.0
277,3246.0
278,7781.0
279,907.0
280,5241.0
281,984.0
282,586.0
283,14659.0
284,1668.0
285,2211.0
286,1622.0
287,3380.0
288,1401.0
289,764.0
290,3041.0
