,carat,cut,color,clarity,depth,table,price,x,y,z,cut_int,color_int,clarity_int,cut_color_clarity_score,raw_density,marketing_carat,marketing_carat_int
0,1.21,Premium,J,VS2,62.4,58.0,4268,6.83,6.79,4.25,4,1,4,31,3.683470641128106,regular,1
1,0.32,Very Good,H,VS2,63.0,57.0,505,4.35,4.38,2.75,3,3,4,34,3.6644193469890216,regular,1
2,0.71,Fair,G,VS1,65.5,55.0,2686,5.62,5.53,3.65,1,4,5,35,3.7553920951112105,regular,1
3,0.41,Good,D,SI1,63.8,56.0,738,4.68,4.72,3.0,2,7,3,39,3.7121541358829493,regular,1
4,1.02,Ideal,G,SI1,60.5,59.0,4882,6.55,6.51,3.95,5,4,3,39,3.6335575066136543,good,2
5,1.52,Ideal,F,SI2,61.2,57.0,9057,7.45,7.39,4.54,5,5,2,38,3.6487009884338986,regular,1
6,1.01,Fair,H,VS2,65.2,56.0,3733,6.23,6.19,4.05,1,3,4,28,3.8800641439911017,good,2
7,1.52,Ideal,J,VS1,62.3,58.0,8608,7.32,7.35,4.57,5,1,5,38,3.709199718198432,regular,1
8,0.31,Ideal,H,VS1,61.8,54.2,557,4.33,4.37,2.69,5,3,5,44,3.654191734143642,regular,1
9,1.14,Ideal,G,SI1,61.7,56.0,6741,6.71,6.75,4.15,5,4,3,39,3.6389971211223426,regular,1
10,0.44,Premium,E,SI1,62.3,59.0,1040,4.88,4.84,3.03,4,6,3,42,3.688893479511886,regular,1
11,1.02,Premium,I,SI1,58.0,58.0,4284,6.84,6.6,3.9,4,2,3,30,3.4760561076350553,good,2
12,0.93,Ideal,I,SI2,62.3,57.0,3101,6.2,6.22,3.87,5,2,2,29,3.7388768413968445,regular,1
13,1.51,Premium,G,VS1,60.1,58.0,14507,7.48,7.45,4.49,4,4,5,44,3.6209621575882696,regular,1
14,1.65,Ideal,H,SI2,61.6,55.0,10349,7.58,7.62,4.68,5,3,2,32,3.6623948493144276,regular,1
15,1.5,Good,G,SI2,57.5,63.0,6006,7.53,7.49,4.32,2,4,2,26,3.693873076157025,regular,1
16,0.43,Ideal,D,VS1,62.1,56.0,1207,4.85,4.87,3.02,5,7,5,56,3.6169463187687696,regular,1
17,0.38,Premium,G,VS2,60.8,61.0,983,4.66,4.65,2.83,4,4,4,40,3.7180013394589033,regular,1
18,0.85,Ideal,I,VS1,61.9,56.0,3548,6.08,6.1,3.77,5,2,5,41,3.6475009326159245,regular,1
19,1.53,Premium,D,SI2,60.7,60.0,11078,7.45,7.41,4.51,4,7,2,41,3.687157239724204,regular,1
20,1.54,Premium,H,VS2,61.0,60.0,11177,7.46,7.42,4.54,4,3,4,37,3.6768286038546987,regular,1
21,0.71,Premium,G,SI2,62.0,59.0,1740,5.69,5.65,3.52,4,4,2,32,3.764490637906193,regular,1
22,0.3,Very Good,G,VS1,61.7,56.0,605,4.29,4.33,2.66,3,4,5,41,3.6428868323848267,regular,1
23,1.3,Ideal,G,IF,61.3,56.0,12932,7.03,7.06,4.32,5,4,8,59,3.6379006112120766,regular,1
24,0.3,Premium,G,SI1,62.9,59.0,574,4.28,4.24,2.68,4,4,3,36,3.701076700784562,regular,1
25,1.0,Ideal,I,SI2,61.7,56.0,2873,6.45,6.41,3.97,5,2,2,29,3.6554681096505175,good,2
26,1.0,Premium,G,VS2,61.6,54.0,6216,6.49,6.46,3.99,4,4,4,40,3.586750271902571,good,2
27,0.9,Premium,D,SI1,61.7,56.0,3568,6.16,6.09,3.78,4,7,3,45,3.8080615139024716,regular,1
28,1.55,Very Good,H,SI1,63.2,57.0,7066,7.35,7.31,4.64,3,3,3,30,3.730441655411163,regular,1
29,1.01,Premium,H,SI2,61.1,60.0,3054,6.46,6.41,3.93,4,3,2,29,3.7238272552668463,good,2
30,1.16,Premium,G,SI2,62.5,58.0,4969,6.72,6.68,4.19,4,4,2,32,3.7004068916377943,regular,1
31,0.35,Ideal,H,VVS1,62.0,53.9,743,4.5,4.53,2.8,5,3,7,52,3.6791758646063277,regular,1
32,0.97,Ideal,H,VVS1,60.4,57.0,6801,6.4,6.48,3.89,5,3,7,52,3.607600209463962,bad,0
33,1.19,Ideal,E,SI2,60.2,57.0,5717,6.84,6.87,4.13,5,6,2,41,3.679046875818317,regular,1
34,0.7,Very Good,H,VS1,62.1,56.0,2422,5.65,5.68,3.52,3,3,5,38,3.7180039205466104,regular,1
35,0.8,Very Good,H,SI1,63.2,54.0,2553,5.93,5.88,3.73,3,3,3,30,3.690628967137809,regular,1
36,2.0,Premium,I,SI2,61.3,59.0,14208,8.13,8.09,4.97,4,2,2,26,3.6710118812941963,good,2
37,0.71,Very Good,E,VS2,63.5,59.0,2858,5.68,5.59,3.58,3,6,4,43,3.74771389452434,regular,1
38,1.0,Premium,F,SI1,60.3,58.0,5292,6.47,6.43,3.89,4,5,3,39,3.707544697123846,good,2
39,0.5,Ideal,E,SI2,62.4,57.0,1240,5.07,5.03,3.15,5,6,2,41,3.734519715556572,regular,1
40,0.51,Ideal,G,VVS2,61.3,57.0,1875,5.12,5.15,3.15,5,4,6,51,3.6841192787794728,regular,1
41,1.04,Premium,G,SI2,62.2,59.0,3861,6.57,6.49,4.06,4,4,2,32,3.60452871601523,good,2
42,0.64,Ideal,G,VVS2,61.8,54.0,2587,5.53,5.56,3.42,5,4,6,51,3.65178495825211,regular,1
43,0.8,Ideal,E,VS2,62.2,57.0,3648,5.95,5.98,3.71,5,6,4,49,3.636211852065873,regular,1
44,0.3,Ideal,D,SI1,61.9,56.0,552,4.28,4.31,2.66,5,7,3,48,3.6683420936059816,regular,1
