depth,table,price,x,y,z,df_original,id,cut_int,color_int,clarity_int,raw_density,carat_sqr
62.7,60.0,,5.82,5.89,3.67,0,0.0,3,5,3,3.7676798975343693,0.3895008100000001
61.0,57.0,,6.81,6.89,4.18,0,1.0,5,1,5,3.6710464596320875,2.0736
62.2,61.0,,7.38,7.32,4.57,0,2.0,4,3,3,3.815638830779383,6.075732010000001
63.8,54.0,,6.09,6.13,3.9,0,3.0,3,5,3,3.7089534755057634,0.6561
62.9,58.0,,5.05,5.09,3.19,0,4.0,3,5,5,3.6586545992855504,0.0625
61.3,61.0,,6.38,6.34,3.9,0,5.0,4,5,4,3.841475613476049,1.04060401
61.0,58.0,,6.6,6.54,4.01,0,6.0,4,3,3,3.6051101049156378,1.1698585600000002
63.1,61.0,,6.1,6.16,3.87,0,7.0,2,7,3,3.7546644485264395,0.6857496100000001
62.2,55.0,,6.69,6.67,4.15,0,8.0,5,2,4,3.6612521984725928,1.6304736099999995
62.9,56.0,,7.52,7.46,4.71,0,9.0,5,5,4,3.6559441382635396,6.7189824100000015
60.2,59.0,,6.62,6.67,4.0,0,10.0,3,2,3,3.600918573945656,1.2624769600000003
62.5,58.0,,4.29,4.26,2.67,0,11.0,4,7,4,3.688878510844012,0.0081
62.1,57.0,,5.15,5.18,3.21,0,12.0,5,7,7,3.713514284242894,0.07890481000000002
59.7,60.0,,5.26,5.19,3.12,0,13.0,4,7,3,3.6630841703480663,0.07311616000000001
61.2,60.0,,5.78,5.73,3.52,0,14.0,4,5,3,3.7570674040537617,0.28398240999999996
62.1,56.0,,4.78,4.82,2.98,0,15.0,5,7,5,3.6703657350501633,0.031116959999999996
61.6,55.0,,5.11,5.14,3.16,0,16.0,5,4,4,3.6145160119685777,0.0625
62.2,58.0,,6.15,6.2,3.84,0,17.0,3,4,3,3.688040912667191,0.6561
59.7,58.0,,6.53,6.57,3.91,0,18.0,3,3,2,3.6483467972531596,1.08243216
61.6,56.0,,4.34,4.36,2.68,0,19.0,5,5,7,3.6677686273742687,0.009235209999999999
62.6,54.0,,5.63,5.71,3.55,0,20.0,5,2,3,3.680242482414684,0.24009999999999995
61.6,54.0,,6.88,6.82,4.22,0,21.0,5,1,4,3.6361955633242657,2.0736
65.8,58.0,,6.23,6.15,4.07,0,22.0,1,5,3,3.8476333351641654,1.0
61.5,57.0,,4.32,4.36,2.66,0,23.0,3,3,6,3.592697339679473,0.0081
62.8,55.0,,8.06,8.11,5.08,0,24.0,3,4,2,3.6499171926542657,16.64966416
61.4,57.8,,5.09,5.14,3.15,0,25.0,3,1,5,3.6402381735032163,0.0625
62.3,57.0,,4.58,4.54,2.84,0,26.0,5,3,3,3.6577505159460313,0.016796159999999997
62.0,55.0,,4.83,4.78,2.98,0,27.0,5,4,5,3.662766634149438,0.031116959999999996
59.9,61.0,,5.13,5.16,3.08,0,28.0,3,5,5,3.6796242426597385,0.0625
62.0,55.0,,4.74,4.68,2.92,0,29.0,4,6,3,3.705136356428191,0.025600000000000005
59.6,65.0,,7.69,7.59,4.55,0,30.0,2,2,5,3.660047760234338,6.887475360000002
62.4,59.0,,4.28,4.25,2.66,0,31.0,4,7,2,3.7201304525745367,0.0081
63.3,58.0,,6.26,6.29,3.97,0,32.0,3,5,2,3.838272151125979,1.0
62.2,60.0,,4.37,4.34,2.71,0,33.0,4,7,3,3.7356034803216778,0.01048576
62.3,54.0,,4.18,4.21,2.61,0,34.0,3,7,7,3.527086653856811,0.005314410000000001
62.1,58.0,,5.64,5.72,3.53,0,35.0,3,5,3,3.740759270865955,0.25411680999999997
64.9,61.0,,7.14,7.09,4.62,0,36.0,1,2,2,3.8481862805386293,5.0625
64.0,61.0,,6.0,5.96,3.83,0,37.0,2,1,3,3.9427339793575973,0.6561
60.5,59.0,,5.81,5.79,3.51,0,38.0,4,7,3,3.607844297025894,0.25411680999999997
61.5,58.0,,4.39,4.42,2.71,0,39.0,4,5,4,3.6512800836477846,0.01048576
62.4,59.0,,3.91,3.94,2.45,0,40.0,3,6,6,3.6562848489649666,0.0027984100000000003
61.8,57.0,,6.81,6.86,4.23,0,41.0,5,4,5,3.673880498019095,2.14358881
60.3,57.0,,4.41,4.44,2.67,0,42.0,3,6,7,3.5577884695059647,0.009235209999999999
60.1,60.3,,5.47,5.5,3.29,0,43.0,2,3,5,3.697729785870126,0.13845840999999998
62.0,53.0,,7.06,7.07,4.37,0,44.0,5,4,5,3.6034375033323776,2.9449992100000006
61.4,64.0,,5.66,5.71,3.49,0,45.0,2,6,3,3.7236711844432384,0.24009999999999995
60.7,56.0,,4.69,4.74,2.86,0,46.0,5,7,4,3.5860606425503465,0.02085136
62.0,55.0,,4.34,4.31,2.68,0,47.0,5,7,4,3.590630465238787,0.0081
63.7,55.0,,5.12,5.15,3.27,0,48.0,2,3,3,3.6880956622428074,0.07890481000000002
62.2,57.0,,5.81,5.86,3.63,0,49.0,3,3,5,3.7381919860640216,0.35153041
61.1,56.0,,4.52,4.55,2.77,0,50.0,5,5,3,3.5809690453312064,0.013363360000000005
61.8,59.0,,6.41,6.37,3.95,0,51.0,4,3,3,3.7573189830202347,1.04060401
59.6,60.0,,5.8,5.85,3.47,0,52.0,3,6,4,3.618230787067117,0.25411680999999997
61.1,55.0,,6.87,6.85,4.19,0,53.0,5,5,3,3.681927979206539,2.14358881
61.5,57.0,,6.93,6.88,4.25,0,54.0,4,5,2,3.5828284802293013,2.14358881
62.3,55.0,,5.31,5.25,3.29,0,55.0,5,4,7,3.6634439807898165,0.09834496000000004
61.0,58.0,,7.56,7.49,4.59,0,56.0,4,1,6,3.647472603902528,6.232012960000001
60.5,57.0,,5.24,5.28,3.18,0,57.0,5,6,6,3.614388156372889,0.07890481000000002
63.3,59.0,,6.32,6.42,4.03,0,58.0,2,6,2,3.7427797375592196,1.08243216
63.0,56.0,,5.35,5.28,3.35,0,59.0,5,7,6,3.677449625280564,0.11316495999999997
61.1,56.0,,5.22,5.26,3.2,0,60.0,5,5,2,3.68755736200341,0.08503056000000002
62.1,58.0,,3.9,3.93,2.43,0,61.0,3,6,7,3.7052341264950828,0.0027984100000000003
60.0,59.0,,6.53,6.48,3.9,0,62.0,4,7,4,3.6721450708178627,1.04060401
60.4,56.0,,4.43,4.38,2.66,0,63.0,5,6,8,3.603740170798684,0.009235209999999999
61.9,58.0,,7.37,7.42,4.58,0,64.0,4,2,3,3.641312627403021,5.33794816
61.5,59.0,,8.08,8.21,5.01,0,65.0,3,3,4,3.646786816136302,16.64966416
60.7,58.0,,4.62,4.57,2.79,0,66.0,4,5,5,3.6668350355087136,0.016796159999999997
60.8,57.0,,8.15,8.13,4.95,0,67.0,5,1,2,3.677002748833958,16.322408009999993
59.1,59.0,,6.5,6.59,3.87,0,68.0,3,3,5,3.655635515041945,1.04060401
61.3,57.0,,6.59,6.62,4.05,0,69.0,5,4,8,3.667554520490169,1.3604889600000003
61.4,58.0,,4.46,4.5,2.75,0,70.0,3,2,3,3.587443946188341,0.011859210000000002
62.2,58.0,,4.34,4.38,2.71,0,71.0,4,4,5,3.6106036207133108,0.009235209999999999
61.1,61.0,,4.76,4.7,2.89,0,72.0,4,4,3,3.7120053056929176,0.025600000000000005
62.1,56.0,,5.01,5.04,3.12,0,73.0,5,2,6,3.6556922784467694,0.05308415999999999
62.7,57.0,,6.44,6.38,4.02,0,74.0,5,5,3,3.6326089717304555,1.0
62.7,55.0,,5.08,5.1,3.19,0,75.0,5,4,6,3.70251524202108,0.06765201
61.1,59.0,,6.81,6.87,4.18,0,76.0,3,5,4,3.6817336400094725,2.0736
63.3,56.0,,7.3,7.26,4.61,0,77.0,3,6,4,3.708239634794879,5.19885601
61.6,53.0,,5.79,5.73,3.55,0,78.0,5,6,3,3.6169962654513554,0.25411680999999997
63.1,55.0,,6.34,6.37,4.01,0,79.0,3,4,5,3.74196362369238,1.04060401
61.8,59.0,,7.32,7.27,4.51,0,80.0,4,3,5,3.7749061935810904,5.19885601
61.2,57.0,,5.36,5.39,3.29,0,81.0,5,5,5,3.661253426322998,0.11316495999999997
61.7,56.0,,7.53,7.57,4.66,0,82.0,5,4,4,3.6592281861040994,6.887475360000002
62.8,59.0,,6.44,6.39,4.03,0,83.0,4,6,4,3.6902828124209712,1.08243216
61.8,56.0,,4.47,4.49,2.77,0,84.0,5,5,6,3.6694124844313043,0.013363360000000005
63.7,61.0,,7.15,7.11,4.54,0,85.0,2,2,3,3.9255155521257126,5.19885601
61.9,56.0,,4.47,4.51,2.78,0,86.0,5,6,7,3.639999353364822,0.013363360000000005
61.9,60.0,,7.57,7.61,4.7,0,87.0,3,3,4,3.7672268914701452,8.352099999999998
60.2,60.0,,7.49,7.43,4.49,0,88.0,4,5,2,3.7699355904903546,6.075732010000001
60.3,61.0,,7.74,7.82,4.69,0,89.0,3,6,3,3.6988672293087586,9.37890625
61.8,57.0,,6.71,6.68,4.14,0,90.0,5,5,2,3.653678840724564,1.6304736099999995
61.7,56.0,,4.8,4.77,2.95,0,91.0,5,4,8,3.642113491809687,0.028257609999999992
62.1,54.0,,4.48,4.5,2.79,0,92.0,5,4,8,3.6268987881891106,0.013363360000000005
61.2,56.0,,4.39,4.37,2.68,0,93.0,5,5,6,3.6176970269765825,0.009235209999999999
65.5,59.0,,10.74,10.54,6.98,0,94.0,1,1,1,3.8044217982039306,630.01502001
56.3,62.0,,4.1,4.11,2.31,0,95.0,2,6,7,3.5452056103649485,0.0027984100000000003
61.8,59.0,,7.38,7.31,4.54,0,96.0,4,6,4,3.7236190774919926,5.33794816
62.8,57.0,,8.09,8.02,5.06,0,97.0,5,2,3,3.7282756212309316,17.31891456
62.0,56.0,,7.53,7.59,4.68,0,98.0,3,3,5,3.7012855304904506,7.412006249999998
63.1,58.0,,4.28,4.24,2.69,0,99.0,3,4,5,3.6873180513392665,0.0081
60.4,65.0,,5.67,5.65,3.42,0,100.0,2,6,5,3.6691751228831397,0.20151121000000005
61.4,55.0,,4.38,4.32,2.67,0,101.0,5,4,5,3.5628979757038852,0.0081
61.9,56.0,,4.49,4.46,2.77,0,102.0,4,3,4,3.6776398666833914,0.013363360000000005
61.8,56.0,,4.15,4.17,2.57,0,103.0,5,3,4,3.642484727702344,0.005314410000000001
61.5,54.0,,5.13,5.15,3.16,0,104.0,5,2,3,3.5934332164030165,0.0625
61.7,58.0,,5.12,5.15,3.17,0,105.0,4,6,4,3.6608756240237663,0.06765201
62.4,56.0,,4.95,4.98,3.1,0,106.0,5,7,4,3.6117097912667284,0.044774560000000005
61.6,55.0,,4.44,4.42,2.73,0,107.0,4,3,6,3.5837139909538096,0.01048576
60.6,62.0,,5.06,5.0,3.05,0,108.0,4,5,3,3.732262035897104,0.05308415999999999
61.6,55.0,,4.36,4.37,2.69,0,109.0,5,5,4,3.6290482130371493,0.009235209999999999
59.7,63.0,,4.32,4.35,2.59,0,110.0,2,6,4,3.6982795603485266,0.0081
61.0,58.0,,4.92,4.89,2.99,0,111.0,4,4,5,3.5865307254750944,0.03418801
63.8,57.0,,5.58,5.55,3.55,0,112.0,2,3,2,3.820267336850708,0.24009999999999995
61.3,57.0,,5.13,5.15,3.15,0,113.0,5,6,4,3.6048409408995337,0.0625
65.7,55.0,,5.31,5.23,3.46,0,114.0,1,4,3,3.746538432646887,0.1296
60.8,56.0,,6.62,6.58,4.01,0,115.0,5,3,3,3.6067188844755114,1.2155062500000002
60.1,60.0,,6.58,6.53,3.94,0,116.0,4,5,3,3.615065124689385,1.08243216
62.9,57.0,,8.41,8.34,5.27,0,117.0,5,2,2,3.7009518572228615,27.023362559999992
59.5,56.0,,4.2,4.31,2.53,0,118.0,3,6,4,3.5372677357949227,0.005314410000000001
62.0,57.0,,8.03,8.1,5.0,0,119.0,5,5,2,3.6898667035653343,16.0
64.6,58.0,,5.01,4.99,3.23,0,120.0,1,5,4,3.7151851393783284,0.0625
62.0,58.0,,5.03,5.1,3.14,0,121.0,4,5,5,3.724375366385427,0.0625
61.7,63.0,,4.88,4.91,3.02,0,122.0,2,6,5,3.7312599541723896,0.04100625
60.1,60.0,,4.1,4.15,2.48,0,123.0,4,6,5,3.6969277582398834,0.004569760000000001
58.8,57.0,,4.44,4.4,2.6,0,124.0,4,7,3,3.543753543753543,0.0081
59.7,59.0,,5.54,5.47,3.29,0,125.0,5,1,4,3.6710313758638433,0.13845840999999998
60.0,56.0,,5.28,5.32,3.18,0,126.0,3,4,2,3.5600364547732966,0.07890481000000002
60.9,60.0,,6.93,6.97,4.23,0,127.0,5,6,6,3.67075064104888,2.44140625
62.7,57.0,,6.39,6.49,4.04,0,128.0,5,6,3,3.5811649916483654,1.0
61.6,57.0,,6.53,6.58,4.04,0,129.0,5,2,4,3.6638414838751574,1.2624769600000003
62.0,57.0,,6.81,6.83,4.23,0,130.0,5,7,2,3.6900176012314776,2.14358881
57.8,61.0,,6.54,6.58,3.79,0,131.0,2,1,2,3.678818810742357,1.0
61.5,61.0,,6.56,6.51,4.02,0,132.0,4,4,5,3.634742998506401,1.1698585600000002
61.7,56.0,,4.57,4.6,2.83,0,133.0,5,4,8,3.6307244001152426,0.016796159999999997
65.5,55.0,,6.3,6.25,4.11,0,134.0,1,1,5,3.707565751361372,1.0
62.1,56.0,,4.87,4.83,3.01,0,135.0,5,6,4,3.643989512598184,0.03418801
61.5,59.4,,4.45,4.49,2.75,0,136.0,3,4,4,3.60351342558995,0.011859210000000002
61.6,61.0,,6.38,6.35,3.92,0,137.0,4,4,6,3.778076777572531,1.0
61.4,54.0,,4.33,4.37,2.67,0,138.0,5,3,5,3.562803829230299,0.0081
62.4,55.0,,6.41,6.46,4.02,0,139.0,5,3,2,3.6765021268564806,1.08243216
61.4,55.0,,4.65,4.67,2.86,0,140.0,5,2,8,3.5745148682912027,0.01874161
62.3,56.0,,4.77,4.73,2.96,0,141.0,5,2,6,3.683527158735583,0.028257609999999992
61.9,55.0,,5.98,6.01,3.71,0,142.0,5,6,3,3.6449091141912384,0.4304672100000001
62.2,57.0,,6.17,6.14,3.83,0,143.0,5,1,8,3.7217007560442115,0.6561
61.2,60.0,,4.39,4.37,2.68,0,144.0,4,4,5,3.6176970269765825,0.009235209999999999
61.7,60.0,,7.05,6.95,4.32,0,145.0,4,2,4,3.628303031333798,2.68435456
62.2,57.0,,8.22,8.19,5.1,0,146.0,5,2,4,3.7397203562939945,20.972736160000004
60.9,60.0,,6.52,6.45,3.95,0,147.0,4,5,3,3.7203523137521204,1.1255088100000001
61.4,57.0,,5.82,5.84,3.58,0,148.0,3,7,2,3.6489180662075476,0.29986576
62.4,58.0,,5.64,5.68,3.53,0,149.0,3,2,2,3.7140448622662383,0.24009999999999995
62.0,56.0,,6.3,6.34,3.92,0,150.0,5,2,1,3.6788036530520274,0.8493465599999999
61.7,58.0,,5.16,5.27,3.22,0,151.0,5,6,4,3.631708073163707,0.07890481000000002
59.7,62.0,,7.73,7.65,4.59,0,152.0,4,5,3,3.603174042645776,7.059117609999998
63.7,57.0,,5.86,5.94,3.76,0,153.0,3,6,2,3.7133369861566803,0.4304672100000001
61.6,60.0,,4.61,4.58,2.83,0,154.0,4,2,4,3.715353450443728,0.01874161
63.0,59.0,,7.94,8.07,5.04,0,155.0,3,3,2,3.7158371506128387,16.0
64.0,59.0,,6.78,6.73,4.32,0,156.0,2,4,1,3.683054249136643,2.14358881
62.6,57.0,,5.63,5.68,3.54,0,157.0,5,6,4,3.7101314573777975,0.24009999999999995
61.5,60.0,,6.4,6.34,3.92,0,158.0,4,3,2,3.8099328848258547,1.04060401
62.0,54.0,,4.6,4.62,2.86,0,159.0,5,7,4,3.5537584944699567,0.016796159999999997
60.7,59.0,,7.5,7.47,4.54,0,160.0,4,1,4,3.656328692154817,5.7720062500000004
60.7,56.0,,6.97,6.99,4.24,0,161.0,5,6,4,3.6306589338084976,2.44140625
60.3,58.0,,4.47,4.49,2.7,0,162.0,4,7,3,3.653823477144504,0.011859210000000002
62.3,57.0,,4.09,4.06,2.54,0,163.0,5,6,6,3.698635554376629,0.004569760000000001
59.6,59.0,,6.56,6.59,3.92,0,164.0,3,6,3,3.6822160671515367,1.1698585600000002
62.0,56.0,,6.43,6.48,4.0,0,165.0,5,7,6,3.672023500950406,1.08243216
61.5,56.0,,5.74,5.78,3.54,0,166.0,5,4,5,3.627159104772176,0.25411680999999997
63.1,57.0,,6.11,6.16,3.87,0,167.0,2,5,4,3.7897118550260562,0.7163929600000001
59.2,59.0,,5.9,5.85,3.48,0,168.0,4,7,5,3.5466838505996887,0.25411680999999997
62.8,58.0,,7.82,7.89,4.93,0,169.0,2,2,2,3.7675059085242864,13.308633609999998
61.1,55.0,,4.5,4.52,2.75,0,170.0,5,4,5,3.5398230088495586,0.011859210000000002
62.5,60.0,,5.08,5.06,3.17,0,171.0,4,4,5,3.6816946241465964,0.0625
59.4,62.0,,6.83,6.78,4.04,0,172.0,4,6,2,3.6240812953916177,1.6304736099999995
63.8,58.0,,5.06,5.09,3.24,0,173.0,3,4,8,3.666976418321768,0.06765201
61.6,56.0,,6.46,6.43,3.97,0,174.0,5,4,4,3.674841620693448,1.04060401
