iter	Passed	Remaining
0	6	8135
1	13	8090
2	20	8196
3	31	9447
4	42	10135
5	51	10287
6	60	10249
7	66	9909
8	76	10076
9	83	9910
10	90	9787
11	97	9623
12	103	9489
13	111	9424
14	118	9338
15	124	9232
16	131	9142
17	137	9059
18	145	9068
19	162	9588
20	175	9825
21	186	9987
22	194	9978
23	202	9902
24	209	9850
25	216	9767
26	223	9705
27	232	9722
28	239	9657
29	245	9589
30	252	9533
31	259	9481
32	266	9423
33	273	9373
34	280	9321
35	287	9279
36	293	9237
37	300	9187
38	307	9145
39	313	9103
40	320	9070
41	327	9042
42	335	9014
43	342	8986
44	350	8998
45	366	9192
46	377	9268
47	390	9367
48	396	9320
49	403	9283
50	412	9296
51	422	9317
52	432	9354
53	440	9343
54	447	9306
55	466	9525
56	474	9520
57	495	9748
58	501	9707
59	508	9666
60	516	9647
61	523	9611
62	530	9575
63	540	9585
64	546	9548
65	553	9508
66	559	9469
67	566	9431
68	572	9390
69	579	9354
70	586	9318
71	592	9285
72	599	9251
73	605	9218
74	612	9184
75	618	9153
76	625	9123
77	632	9093
78	638	9062
79	645	9034
80	651	9005
81	658	8976
82	664	8946
83	671	8915
84	678	8901
85	684	8872
86	691	8840
87	697	8816
88	704	8789
89	710	8765
90	717	8738
91	724	8722
92	730	8700
93	738	8687
94	745	8666
95	751	8647
96	758	8627
97	765	8606
98	771	8584
99	778	8566
100	785	8547
101	797	8581
102	810	8635
103	821	8653
104	828	8639
105	835	8622
106	842	8607
107	850	8600
108	857	8583
109	864	8570
110	871	8553
111	884	8594
112	891	8577
113	898	8563
114	905	8546
115	912	8531
116	919	8513
117	927	8506
118	938	8524
119	945	8511
120	953	8501
121	960	8485
122	967	8467
123	974	8458
124	981	8442
125	988	8425
126	995	8411
127	1002	8396
128	1009	8384
129	1018	8382
130	1025	8371
131	1034	8366
132	1042	8359
133	1048	8343
134	1055	8328
135	1062	8312
136	1070	8306
137	1077	8293
138	1084	8281
139	1091	8266
140	1099	8254
141	1106	8240
142	1113	8227
143	1120	8213
144	1127	8202
145	1134	8190
146	1141	8175
147	1148	8162
148	1155	8149
149	1162	8137
150	1172	8144
151	1179	8132
152	1186	8120
153	1193	8107
154	1213	8182
155	1220	8170
156	1237	8223
157	1247	8226
158	1256	8225
159	1262	8209
160	1269	8193
161	1276	8177
162	1282	8162
163	1289	8146
164	1296	8131
165	1303	8117
166	1309	8102
167	1546	9501
168	1554	9482
169	1561	9461
170	1568	9436
171	1574	9410
172	1580	9383
173	1586	9355
174	1592	9328
175	1598	9302
176	1605	9277
177	1611	9251
178	1617	9227
179	1623	9202
180	1630	9178
181	1641	9182
182	1649	9166
183	1657	9152
184	1663	9126
185	1669	9102
186	1675	9078
187	1681	9052
188	1687	9028
189	1693	9002
190	1699	8977
191	1705	8951
192	1810	9443
193	1820	9440
194	1829	9426
195	1836	9408
196	1844	9389
197	1851	9369
198	1861	9364
199	1867	9338
200	1873	9310
201	1879	9284
202	1885	9258
203	1922	9386
204	1928	9361
205	1935	9338
206	1941	9313
207	1947	9289
208	1954	9265
209	1960	9241
210	1966	9217
211	1972	9193
212	1978	9169
213	1984	9145
214	1990	9120
215	1996	9096
216	2003	9074
217	2009	9053
218	2015	9028
219	2021	9004
220	2027	8980
221	2033	8957
222	2039	8933
223	2045	8911
224	2050	8887
225	2057	8867
226	2063	8844
227	2070	8828
228	2076	8805
229	2082	8782
230	2088	8761
231	2094	8738
232	2100	8715
233	2105	8693
234	2111	8672
235	2118	8652
236	2124	8631
237	2130	8610
238	2136	8590
239	2142	8569
240	2148	8548
241	2154	8528
242	2160	8509
243	2166	8490
244	2173	8470
245	2179	8451
246	2185	8432
247	2191	8413
248	2198	8395
249	2204	8376
250	2207	8345
251	2213	8326
252	2219	8309
253	2226	8291
254	2238	8296
255	2245	8281
256	2253	8266
257	2262	8260
258	2269	8247
259	2276	8228
260	2282	8212
261	2288	8192
262	2293	8172
263	2300	8154
264	2306	8136
265	2312	8120
266	2319	8103
267	2325	8086
268	2333	8076
269	2552	8793
270	2560	8777
271	2568	8763
272	2576	8747
273	2583	8729
274	2590	8715
275	2599	8703
276	2609	8695
277	2615	8673
278	2625	8668
279	2633	8653
280	2642	8640
281	2649	8624
282	2657	8610
283	2665	8595
284	2673	8582
285	2679	8564
286	2687	8548
287	2694	8532
288	2697	8504
289	2703	8483
290	2710	8466
291	2717	8451
292	2725	8436
293	2732	8421
294	2740	8408
295	2748	8394
296	2756	8380
297	2764	8366
298	2774	8359
299	2781	8343
300	2790	8332
301	2796	8316
302	2805	8304
303	2812	8288
304	2820	8275
305	2828	8263
306	2836	8249
307	2851	8257
308	2861	8249
309	2875	8255
310	2885	8248
311	2892	8233
312	2899	8216
313	2905	8197
314	2917	8196
315	2926	8185
316	2932	8169
317	2941	8158
318	2950	8149
319	2958	8135
320	2966	8122
321	2975	8113
322	2984	8102
323	2991	8087
324	2999	8074
325	3006	8061
326	3016	8053
327	3025	8044
328	3030	8023
329	3039	8012
330	3048	8002
331	3057	7993
332	3064	7978
333	3072	7965
334	3080	7954
335	3088	7940
336	3097	7930
337	3105	7918
338	3116	7915
339	3124	7902
340	3131	7888
341	3137	7872
342	3145	7858
343	3152	7845
344	3160	7832
345	3168	7820
346	3176	7807
347	3184	7795
348	3192	7784
